#
# Time		Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]
#
# 2014-0107-192657  0.236  0.268  0.787  Lowest temperature
# 2014-0107-192755  0.235  0.268  0.787  Lowest temperature
# 2014-0107-195855  0.234  0.267  0.787  Lowest temperature
# 2014-0108-182655  1.088  0.593  3.0  He3U Head > 0.4 K
# 2014-0108-214053  0.353  0.456  0.936  Cooled
# 2014-0109-012758  0.233  0.266  0.787  Lowest temperature
#
# Time   Temperature [K]
# UTC+9  He3U Head [K]  He3I Head [K]  He4 Head [K]  Hold Time [h]  Lowest Temperature [K]  State
#
2014-0603-005100  0.269  0.53  2.228  -  -  Cooled
2014-0603-005354  0.27  0.53  2.228  0.05  0.269  He3U Head > 0.27 K
2014-0603-005758  0.269  0.531  2.228  -  -  Cooled
2014-0603-010751  0.271  0.533  2.229  0.16  0.265  He3U Head > 0.27 K
2014-0603-022459  0.269  0.545  2.229  -  -  Cooled
2014-0603-085155  0.27  0.624  2.245  6.45  0.260  He3U Head > 0.27 K
2014-0603-085253  0.267  0.624  2.246  -  -  Cooled
2014-0603-092158  0.27  0.631  2.246  0.48  0.267  He3U Head > 0.27 K
2014-0603-092256  0.269  0.631  2.246  -  -  Cooled
2014-0603-094252  0.27  0.636  2.247  0.33  0.269  He3U Head > 0.27 K
2014-0603-094500  0.269  0.637  2.246  -  -  Cooled
2014-0603-094755  0.27  0.637  2.248  0.05  0.269  He3U Head > 0.27 K
2014-0603-094853  0.269  0.638  2.248  -  -  Cooled
2014-0603-100556  0.27  0.642  2.247  0.28  0.268  He3U Head > 0.27 K
2014-0603-101254  0.269  0.643  2.248  -  -  Cooled
2014-0603-102801  0.27  0.647  2.249  0.25  0.269  He3U Head > 0.27 K
2014-0603-103402  0.269  0.648  2.249  -  -  Cooled
2014-0603-110352  0.27  0.656  2.25  0.50  0.269  He3U Head > 0.27 K
2014-0604-224128  0.228  0.262  0.794  -  -  Cooled
2014-0605-070602  0.562  0.436  2.722  8.41  0.224  He3U Head > 0.27 K
2014-0605-094257  0.269  0.314  0.801  -  -  Cooled
2014-0605-193700  0.27  0.367  2.321  9.90  0.216  He3U Head > 0.27 K
2014-0605-193758  0.268  0.367  2.321  -  -  Cooled
2014-0605-193856  0.27  0.367  2.318  0.02  0.268  He3U Head > 0.27 K
